Text,Likes,Shares
Excited to announce our new project! #innovation,120,50
Just hit 100K followers! Thank you all for the support. #milestone,300,120
Spent the weekend coding in Java. Feeling productive! #coding,80,30
Check out my latest blog post on machine learning. #AI #tech,150,40
Fun times with friends! #weekendvibes,90,25
Java vs. Python: Which one do you prefer? #programming,200,80
Exploring new places. #travel #adventure,110,35
Happy birthday to my best friend! ???? #celebration,250,100
Joining the fitness challenge. Let's stay healthy! #fitness,70,20
Finished reading a great book. Any recommendations? #booklover,120,45
